run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,bestepoch,totalepochs,loss,stopreason
2,poker,10,10,184.7607311,0.10443655496676092,0.10297560851877932,0.5886445421831268,0.578898,27,45,0.05509740889048987,consecincrease
3,poker,10,10,1538.0804785,0.14407823703469805,0.1328346519878614,0.6732107157137145,0.651917,370,375,0.05105861783167568,noprogress
4,poker,10,10,243.7942064,0.10462188384032481,0.10271532860164187,0.5890043982407037,0.578151,27,60,0.055106365030688,consecincrease
5,poker,10,10,1175.9854539,0.13103188056695586,0.1223198828154155,0.6689324270291883,0.648212,282,290,0.0511505151709172,noprogress
6,poker,10,10,3239.091434,0.22360711468541786,0.2166617712106572,0.8181527389044382,0.8086,789,795,0.03616734305082281,noprogress
7,poker,10,10,184.1004278,0.10403731190295759,0.10253652530656976,0.5876849260295882,0.578848,26,45,0.055114824534408656,consecincrease
8,poker,10,10,1426.0102198,0.12639354783211693,0.12335385553110326,0.6761695321871252,0.654294,345,350,0.05095401320729958,noprogress
9,poker,10,10,246.0334357,0.10630514508476177,0.10442547327599958,0.5964014394242303,0.58582,38,60,0.05509531736197646,consecincrease
10,poker,10,10,1122.8484907,0.12769630589617847,0.11999566755992601,0.6487405037984806,0.630216,254,275,0.052854318667893904,consecincrease
11,poker,10,10,245.8614105,0.1041544358153633,0.1023542627504415,0.5891643342662934,0.579309,37,60,0.055062319817981216,consecincrease
12,poker,10,10,225.4704867,0.10717664509869247,0.1048510973366015,0.5883646541383447,0.579347,36,55,0.055074392036607335,consecincrease
13,poker,10,10,205.3689501,0.10549855585887224,0.1034233269907326,0.5887245101959216,0.579017,28,50,0.055089770231861436,consecincrease
14,poker,10,10,225.9164089,0.10533367411648528,0.10321749409123779,0.5877249100359856,0.578671,35,55,0.055085062208415754,consecincrease
15,poker,10,10,184.6798106,0.1042814919041781,0.10280080529469363,0.5866853258696522,0.578419,23,45,0.05511118067553837,consecincrease
16,poker,10,10,1227.4689791,0.1485947372928917,0.1374560243496387,0.6632546981207517,0.644701,300,300,0.05128842202993188,noprogress
17,poker,10,10,226.2873913,0.10538675342146957,0.10328876429796859,0.5879248300679728,0.578216,35,55,0.05511939534352352,consecincrease
