run,dataset,nin,nout,time,ftrain,ftest,nsel,nenhanced,sel
13,mushroom,140,2,113.3353338,1.0,1.0,"12","0","100000000000000000000010010010100000000010000000000010000000000000000000000000000000000100100000011001000000000000000000000000000000000000000"
14,mushroom,140,2,101.3201016,1.0,1.0,"11","0","100000000000000000000001100001000000000010000000000010000000000000100000000000000000000011000000001001000000000000000000000000000000000000000"
15,mushroom,140,2,99.5349954,1.0,1.0,"12","0","100000000000000000000000010000100000000000000000001010000000000000000000000000000000000101100100011001000000000000000000000000000000000000000"
16,mushroom,140,2,133.0656651,1.0,1.0,"12","0","100000000000000000000000010001100000000000000000001010000000000000000000000000000000000010010100011001000000000000000000000000000000000000000"
17,mushroom,140,2,93.005571,1.0,1.0,"12","0","100000000000000000000100010000000000000000000000001010100000000000000000000000000000000010010100011001000000000000000000000000000000000000000"
18,mushroom,140,2,108.5385268,1.0,1.0,"12","0","100000000000000000000100010000000000000000000000000110100000000000000000000000000000000010010100011001000000000000000000000000000000000000000"
19,mushroom,140,2,172.8275322,1.0,1.0,"12","0","100000000000000000000000010000100000100000000000001010000000000000000000000000000000000010010100011001000000000000000000000000000000000000000"
20,mushroom,140,2,95.2343602,1.0,1.0,"14","0","100000000000000000000011110000000000010010000000000001100000010000000000000000000000000000100000011000000000000001000000000000000000000000000"
21,mushroom,140,2,89.7016572,1.0,1.0,"13","0","100000000000000000000010010000000000000000000000000011010100000000000000000000000000000100101000011001000000000000000000000000000000000000000"
22,mushroom,140,2,101.9350237,1.0,1.0,"15","0","100000000000000000000000010001001000100000000000001001110000010000000000100000000000000011000000001001000000000000000000000000000000000000000"
23,mushroom,140,2,86.5540351,1.0,1.0,"12","0","100000000000000000000000010000100000000000000000001010000000000000000000000000000000000011110000011001000000000000000000000000000000000000000"
24,mushroom,140,2,139.8192777,1.0,1.0,"12","0","100000000000000000000010010000000000000000000000000011010000010000000000000000000000000010100000011001000000000000000000000000000000000000000"
25,mushroom,140,2,83.4792061,1.0,1.0,"12","0","100000000000000000000100010000000000000000000000000110100000000000000000000000000000000010010100011001000000000000000000000000000000000000000"
1,soybean,105,19,101.2933339,0.11221663180507661,0.10415585314370739,"2","0","0000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000"
2,soybean,105,19,121.1344975,0.10722284434490481,0.09766081871345028,"2","0","0000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000"
3,soybean,105,19,105.4040517,0.10722284434490481,0.09766081871345028,"2","0","0000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000"
4,soybean,105,19,100.9071954,0.10193753614806246,0.09619139874225441,"3","0","1000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000"
5,soybean,105,19,109.9749439,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
6,soybean,105,19,107.4530369,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
7,soybean,105,19,110.6364846,0.11221663180507661,0.10415585314370739,"2","0","0000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000"
8,soybean,105,19,126.2104829,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
9,soybean,105,19,104.2481827,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
10,soybean,105,19,106.7847453,0.10722284434490481,0.09766081871345028,"2","0","0000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000"
11,soybean,105,19,117.3346758,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
12,soybean,105,19,97.5246703,0.07526385071938292,0.05007627765064835,"2","1","1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000"
13,soybean,105,19,133.1121802,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
14,soybean,105,19,104.4918323,0.10722284434490481,0.09766081871345028,"2","0","0000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000"
15,soybean,105,19,103.7144459,0.10722284434490481,0.09766081871345028,"2","0","0000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000"
16,soybean,105,19,103.2750528,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
17,soybean,105,19,102.7396389,0.11221663180507661,0.10415585314370739,"2","0","0000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000"
18,soybean,105,19,117.8701486,0.11221663180507661,0.10415585314370739,"2","0","0000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000"
19,soybean,105,19,96.0341929,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
20,soybean,105,19,108.5938383,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
21,soybean,105,19,134.629265,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
22,soybean,105,19,137.1440139,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
23,soybean,105,19,112.5479023,0.10722284434490481,0.09766081871345028,"2","0","0000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000"
24,soybean,105,19,124.2095163,0.10722284434490481,0.09766081871345028,"2","0","0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
25,soybean,105,19,112.5521697,0.11221663180507661,0.10415585314370739,"2","0","0000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000"
1,thyroid,46,3,22.6274147,0.4883490452018371,0.49737756906751235,"6","0","11000000000000000111100000000000000000000000000"
2,thyroid,46,3,53.7114668,0.49099116732948156,0.49737756906751235,"18","8","11010101000100000111101011000011100000000000110"
3,thyroid,46,3,26.0471895,0.4883490452018371,0.49737756906751235,"6","0","11000000000000000111100000000000000000000000000"
4,thyroid,46,3,23.9649499,0.4883490452018371,0.49737756906751235,"6","0","11000000000000000111100000000000000000000000000"
5,thyroid,46,3,20.0791631,0.4883490452018371,0.49737756906751235,"6","0","11000000000000000111100000000000000000000000000"
