lambda,run,dataset,nin,nout,ftrain,ftest,atrain,atest
10.0,8,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,9,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,10,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,11,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,12,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,13,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,14,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,15,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,16,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,17,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,18,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,19,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,20,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,21,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,22,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,23,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,24,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,25,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,26,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,27,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,28,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,29,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,30,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
0.1,1,abalone,35,28,0.07525633496599125,0.09892732228523124,0.999680817108203,1.0
0.1,2,abalone,35,28,0.08949745573887631,0.11903244036947833,0.999680817108203,1.0
0.1,3,abalone,35,28,0.07949981140364795,0.09993291044876135,0.999680817108203,1.0
0.1,4,abalone,35,28,0.07938794349145745,0.09914831662142824,0.999680817108203,1.0
0.1,5,abalone,35,28,0.07416153722677625,0.09361021960776324,0.999680817108203,1.0
0.1,6,abalone,35,28,0.07891731600295922,0.09919302976201352,0.999680817108203,1.0
0.1,7,abalone,35,28,0.0748490580746965,0.1022458490772303,0.999680817108203,1.0
0.1,8,abalone,35,28,0.07766159127764792,0.0942966406632522,0.999680817108203,1.0
0.1,9,abalone,35,28,0.08015545986457893,0.09865314300481114,0.999680817108203,1.0
0.1,10,abalone,35,28,0.07421679867595701,0.09794881318034201,0.999680817108203,1.0
0.1,11,abalone,35,28,0.0712875642520261,0.0943753327864358,0.999680817108203,1.0
0.1,12,abalone,35,28,0.07670369446025137,0.0980185226882061,0.999680817108203,1.0
0.1,13,abalone,35,28,0.07601526453737467,0.09816106889294077,0.999680817108203,1.0
0.1,14,abalone,35,28,0.07865835591002143,0.09621181351833466,0.999680817108203,1.0
0.1,15,abalone,35,28,0.07590876461848318,0.09633332427916211,0.999680817108203,1.0
0.1,16,abalone,35,28,0.08007164184636786,0.10026690640115858,0.999680817108203,1.0
0.1,17,abalone,35,28,0.07837179232491683,0.09644922339720698,0.999680817108203,1.0
0.1,18,abalone,35,28,0.08214268629147815,0.11065633415151052,0.999680817108203,1.0
0.1,19,abalone,35,28,0.07892546511841284,0.10316093645095115,0.999680817108203,1.0
0.1,20,abalone,35,28,0.06813015010312598,0.08387102005389956,0.999680817108203,1.0
0.1,21,abalone,35,28,0.0713836606680254,0.09672681257602404,0.999680817108203,1.0
0.1,22,abalone,35,28,0.0728562553242217,0.09621589263449729,0.999680817108203,1.0
0.1,23,abalone,35,28,0.07489252910597222,0.10316152220066468,0.999680817108203,1.0
0.1,24,abalone,35,28,0.07924820449304974,0.09630176698033557,0.999680817108203,1.0
0.1,25,abalone,35,28,0.07586366479532802,0.09917874995768997,0.999680817108203,1.0
0.1,26,abalone,35,28,0.07567785645865911,0.09651783297955374,0.999680817108203,1.0
0.1,27,abalone,35,28,0.07654815502986134,0.09949515014032745,0.999680817108203,1.0
0.1,28,abalone,35,28,0.0767736685690029,0.10035334300225474,0.999680817108203,1.0
0.1,29,abalone,35,28,0.07820214445219414,0.10278637853140193,0.999680817108203,1.0
0.1,30,abalone,35,28,0.07708895365607746,0.10055641113568323,0.999680817108203,1.0
0.1,1,adult,132,2,0.7512482032840525,0.7490095744190237,0.840207610331378,0.8406731773232602
0.1,2,adult,132,2,0.7525354284160205,0.7537168797354716,0.8402997450938239,0.8433142927338616
0.1,3,adult,132,2,0.7552120220403137,0.7542122466361965,0.8413746506556924,0.8428843437135312
0.1,4,adult,132,2,0.7557084572581853,0.7532680715125308,0.8412518043057645,0.8417173392297771
0.1,5,adult,132,2,0.755815234931487,0.7563318750482697,0.840975400018427,0.8436828204655734
0.1,6,adult,132,2,0.753190424898529,0.7532891086310294,0.8406682841436074,0.8428229224249125
0.1,7,adult,132,2,0.7555045091585071,0.7555985101845315,0.8411903811308007,0.8430686075793871
0.1,8,adult,132,2,0.7548993746342652,0.7536510469544981,0.8403611682687878,0.8419630243842516
0.1,9,adult,132,2,0.7556801203316263,0.752830884745348,0.8419274592303676,0.8421472882501075
0.1,10,adult,132,2,0.754888003921779,0.7541445373516515,0.8411289579558368,0.8428229224249125
0.1,11,adult,132,2,0.7541515826064732,0.752586448260034,0.8406068609686435,0.8417173392297771
0.1,12,adult,132,2,0.752240172316123,0.7537952930613916,0.8395933785817389,0.8424543946932007
0.1,13,adult,132,2,0.7548968305396628,0.7553807753176907,0.8404840146187157,0.8425158159818193
0.1,14,adult,132,2,0.7551200938149774,0.7553424925367761,0.840913976843463,0.8434985565997175
0.1,15,adult,132,2,0.7541590719577511,0.7529525143982201,0.8403611682687878,0.8415330753639212
0.1,16,adult,132,2,0.7539352125029193,0.7527717205754296,0.8412210927182826,0.8428229224249125
0.1,17,adult,132,2,0.7524187143009962,0.7532421672864468,0.8396548017567028,0.8428843437135312
0.1,18,adult,132,2,0.7538879511308496,0.7542450886641943,0.8408218420810172,0.8430686075793871
0.1,19,adult,132,2,0.7554589061340178,0.756184375351759,0.8406989957310893,0.8434985565997175
0.1,20,adult,132,2,0.7551015910541464,0.7561724471469162,0.8408218420810172,0.8434371353110989
0.1,21,adult,132,2,0.7554170043687056,0.7555749947576684,0.8407604189060532,0.8429457650021498
0.1,22,adult,132,2,0.7512299982595183,0.7494163355860279,0.840269033506342,0.8414716540753026
